title,authors,publisher,blurb
Generación idiota: Una crítica al adolescentrismo, Agustin Laje,HarperCollins Mexico,"El controversial escritor Agustín Laje advierte sobre el peligro que enfrenta la sociedad al dejar en manos de la juventud el control de su destino. La gran influencia de los jóvenes en el lenguaje, los valores familiares, la estética y otros aspectos, resultan en una civilización que luce por demás inmadura  Controversial writer Agustín Laje warns about the impact that society faces by leaving control of its destiny in the hands of youth. Young people have great influence in language, family values, aesthetics and many other aspects, resulting in a model of civilization that seems immature. Generación idiota nos ofrece una inmersión profunda en la desaparición de la sociedad intergeneracional y el auge de la mentalidad adolescente, que ha causado un gran daño a la política y a la sociedad. En la continuación de su best seller internacional La batalla cultural, el afamado escritor, politólogo y conferencista Agustín Laje presenta Generación idiota: Una crítica al adolescentecentrismo. Según Agustín, las ideologías centradas en la adolescencia del siglo XXI están en auge. Como resultado, los adolescentes están gobernando el mundo. Rigen la forma de la cultura, estructuran la forma de la política, inspiran los cambios de nuestro lenguaje, imponen sus preferencias estéticas y dominan el imaginario postindustrial y el sistema de consumo. Las instituciones básicas, como la familia, también están fuera de lugar en estas generaciones adolescentes. El libro está dividido en cinco capítulos Capítulo 1 ­– Una investigación sobre el papel y el poder de los ancianos a lo largo de la historia y su caída con el advenimiento de las sociedades modernas Capítulo 2 – La caracterización y explicación de la ""sociedad adolescente"", el idiota posmoderno, y el gran tema de la identidad que está omnipresente y arraigado en nuestra sociedad Capítulo 3 – El papel de la moda, el entretenimiento y la tecnología digital y cómo han afectado y moldeado la cultura y la política del siglo XXI Capítulo 4 – La expropiación del poder de la familia en la sociedad, la omnipresencia del adoctrinamiento en la educación y el devastador poder socializador de los medios de comunicación de masas Capítulo 5 – Agustín cierra ofreciendo un modelo de rebelión muy diferente para la Nueva Derecha (a la que vuelve a expresar su apoyo), cómo escapar de la idiotez política, y rebelarse de verdad contra el sistema establecido. Si estás cansado del adoctrinamiento más descarado de los medios de comunicación, las escuelas, las universidades y, sobre todo, de nuestros hijos, querrás leer Generación idiota, en la que Laje ofrece un modelo particular de rebelión para la Nueva Derecha. Escapemos juntos el idiotismo político y rebelarnos contra el sistema establecido. ¡Manos a la obra! Idiot Generation Idiot Generation offers a deep dive into the demise of the transgenerational society and the rise of the adolescent mentality, which has caused great damage to politics and society. In the follow-up to his international bestseller The Culture Battle, famed writer, political scientist, and lecturer Agustín Laje presents Idiot Generation: A Critique of Adolescentcentrism. According to Agustin, adolescent-centered ideologies of the 21st century are rampant. As a result, adolescents are ruling the world. They govern the shape of culture, structure the shape of politics, inspire the changes in our language, impose their aesthetic preferences, and dominate post-industrial imagery and the consumer system. Basic institutions, such as the family, are also out of place in these adolescent generations."
Spare: En la sombra, Prince Harry The Duke of Sussex,PRH Grupo Editorial,"La controversial autobiografía del príncipe Harry también está disponible en español. El libro que ha dado mucho que hablar en todo el mundo, es un relato franco y abierto por parte de uno de los personajes de la monarquía británica más criticados en los últimos tiempos.  Prince Harry's controversial autobiography is also available in Spanish. The book that has sparked discussions around the world is a sincere and open disclosure by one of the most criticized characters in the British monarchy in recent times. Fue una de las imágenes más desgarradoras del siglo XX: Dos niños, dos príncipes, caminando detrás del féretro de su madre, mientras el mundo contemplaba la escena con pesar… y horror. A la vez que se daba sepultura a Diana, princesa de Gales, miles de millones de personas se preguntaban qué debían pensar y sentir esos príncipes y qué rumbo tomarían sus vidas.  En el caso de Harry, esta es, por fin, esa historia.  Con su franqueza directa y sin concesiones, SPARE: En la sombra es una publicación que marcará un hito. Está llena de lucidez, revelaciones, introspección y sabiduría sobre el eterno poder del amor, sabiduría adquirida a un alto coste.  ENGLISH DESCRIPTION   It was one of the most searing images of the twentieth century: two young boys, two princes, walking behind their mother’s coffin as the world watched in sorrow—and horror. As Diana, Princess of Wales, was laid to rest, billions wondered what the princes must be thinking and feeling—and how their lives would play out from that point on.     For Harry, this is that story at last.     With its raw, unflinching honesty, Spare is a landmark publication full of insight, revelation, self-examination, and hard-won wisdom about the eternal power of love over grief."
Volver a empezar / It Starts with Us (Spanish Edition), Colleen Hoover,Planeta Publishing Corporation,"¡Colleen Hoover nos brinda su magia nuevamente! La tan esperada continuación de su fascinante novela Romper el círculo es por igual una historia fascinante en la que Lily, la protagonista, ahora encara el lastre de un romance fallido con uno nuevo que tiene tropiezos para florecer.  Colleen Hoover brings us her magic again! The long-awaited sequel to her captivating novel It Ends with Us is an equally captivating story in which Lily, the protagonist, faces the burden of a failed romance with a new one that can struggles to blossom. Lily y su exmarido, Ryle, acaban de pactar la custodia compartida de su niña cuando Lily se encuentra de nuevo con su primer amor, Atlas. Después de casi dos años separados, está entusiasmada porque, por una vez, el tiempo está de su lado, e inmediatamente dice que sí cuando Atlas le pide una cita. Pero su alegría se desvanece cuando piensa que, aunque ya no están casados, Ryle sigue teniendo un papel en la familia, y no consentirá que Atlas Corrigan esté presente en su vida y en la de su hija. Volver a empezar alterna entre las perspectivas de Lily y Atlas y continúa justo donde nos dejó Romper el círculo. Descubriremos más sobre el pasado de Atlas y seguiremos a Lily en busca de una segunda oportunidad de encontrar el amor verdadero mientras tiene que lidiar con un exmarido celoso."
¡Vámonos a la Estufa! con Janet Jauja Cocina Mexicana, Kushner Janet,Larousse,"Jauja, la popular chef estrella de YouTube, nos comparte sus secretos culinarios para preparar deliciosas recetas de auténtica cocina mexicana. Con elegantes páginas a color y pasos sencillos de seguir, se pueden preparar más de 70 suculentos platillos que serán la admiración de todos.  Jauja, the popular YouTube star chef, shares her culinary secrets to prepare delicious recipes of authentic Mexican cuisine. With elegant color pages and easy-to-follow steps, you can prepare more than 70 succulent dishes that will be admired by all. Prepara las recetas del canal de cocina mexicana más querido de YouTube. • Desde recetas para almuerzos y desayunos hasta preparaciones con carne de puerco, pollo, res, pescado, carne molida, sin carne y platillos especiales para fiesta, así como clásicos de cocina mexicana, postres, panes y bebidas. • ¡Más de 70 recetas! Entre las que se encuentran las favoritas de Janet y Jack, así como 10 recetas que no encontrarás en el canal. • Conoce con detalle cómo hacer cada receta y su trasfondo, con una breve introducción que habla sobre la cocina mexicana y de los sabores familiares e íntimos de Janet y Jack. • Prepara más de 10 recetas con ayuda de los códigos QR que dirigen a un video del canal Jauja Cocina Mexicana TM. Prepare the recipes of the most beloved Mexican cooking channel on YouTube. * From recipes for lunches and breakfasts to preparations with pork, chicken, beef, fish, ground meat, meatless and special party dishes, as well as Mexican cuisine classics, desserts, breads and drinks. * More than 70 recipes! These include Janet and Jack's favorites, as well as 10 recipes you won't find on the channel. * Learn in detail how to make each recipe and its background, with a brief introduction that talks about Mexican cuisine and the familiar and intimate flavors of Janet and Jack. * Prepare more than 10 recipes with the help of QR codes that lead to a video from the Jauja Cocina Mexicana TM channel."
RUGE: O espera a ser devorado (Spanish Edition), Daniel Habif,Editorial Planeta Mexicana S.A. de C.V.,"Con su clásico agresivo pero muy alentador estilo, Daniel Habif vuelve a la carga con su nuevo libro en el que te invita a provocar tu destino — no a esperar a que ocurra — ¡rugiendo para alcanzar tus metas! Libera ese grito que ahuyenta los obstáculos en tu camino hacia la prosperidad.  With his iconic aggressive but very encouraging style, Daniel Habif is making a big come back with his new book in which he invites you to provoke your destiny — not to wait for it to happen — by roaring to achieve your goals! Release that scream that scares away the hurdles on your way to prosperity. El libro más inspirador y motivador de uno de los conferencistas de habla hispana con mayor reconocimiento en el mundo. ¡Ruge!, porque al destino, más que esperarlo, hay que provocarlo. ¡Ruge! es un llamado que habita en tu interior, un estruendo capaz de derribar cualquier obstáculo en el camino hacia tus sueños, pero que por años ha sido silenciado por las dudas, los miedos y los prejuicios. En estas páginas, Daniel Habif vuelve a elevar su inspiradora y estimulante voz para compartirte aprendizajes profundos y aplicables que te permitirán comprender tus límites mentales y alcanzar un mayor dominio de tus capacidades. Además, explora alternativas para desatar todo tu potencial, afina el poder de tus pensamientos y te ayuda a liberar ese grito que espantará a quienes pretenden devorarte. ENGLISH DESCRIPTION: Roar! Because instead of waiting for fate to find you, you must make it happen. Roar! is a call that dwells within you, a thunder which can overthrow any obstacle on the way to your dreams, but has been silenced for years by doubts, fears and prejudices. In these pages, Daniel Habif once again raises his inspirational and motivating voice to share profound and practical lessons that will allow you to understand your mental limits and achieve greater mastery of your abilities. In addition, he explores alternatives to unleash your full potential, hone the power of your thoughts and help you unleash that scream that will scare away those who seek to devour you."
¿Quién es Michael Jordan?,    Kirsten Anderson Who HQ Dede Putra Illustrator Yanitzia Canetti Translator,Penguin Young Readers Group,"Grab your Js and hit the court with this Spanish Who Was? biography about NBA superstar Michael Jordan.   Coge tus Js y salta a la cancha con esta biografía en español de ¿Quién fue? sobre la superestrella de la NBA Michael Jordan.  Meet the man who changed the game forever. Michael Jordan has always been competitive—even as a young boy, he fought for attention. His need to be the best made him a star player on his college basketball team and helped him become an NBA legend, both for his skills and his endorsements. His Nike contract for Air Jordan basketball shoes set an unmatched precedent for professional athletes. Author Kirsten Anderson takes readers through each exciting moment, detailing the iconic reverse lay-ups and jump shots of Michael Jordan's storied career.       Conoce al hombre que cambió el juego para siempre. Michael Jordan siempre ha sido competitivo, incluso de pequeño luchaba por llamar la atención. Su necesidad de ser el mejor lo convirtió en un jugador estrella de su equipo de baloncesto universitario y lo ayudó a convertirse en una leyenda de la NBA, tanto por sus habilidades como por sus promociones. Su contrato con Nike para las zapatillas de baloncesto Air Jordan sentó un precedente inigualable para los atletas profesionales. La autora, Kirsten Anderson, lleva a los lectores a través de cada momento emocionante, detallando los icónicos tiros en bandeja bajo el aro y los tiros en suspensión de la histórica carrera de Michael Jordan."
Donde crece el helecho rojo / Where the Red Fern Grows, Wilson Rawls,PRH Grupo Editorial,"UN NIÑO, DOS PERROS, UNA GRAN AVENTURA.   Billy siempre ha soñado con tener dos perros, así que cuando logra ahorrar suficiente dinero para tener dos cachorros —Viejo Dan y Annita—, se siente increíblemente feliz. Es cierto que corren tiempos difíciles, pero juntos recorrerán los montes Ozark y se convertirán en el mejor equipo de cacería del valle. La combinación de la fuerza de Viejo Dan, la inteligencia de Annita y la tenacidad de Billy parece invencible. La tragedia, sin embargo, los aguarda. Billy aprenderá que del dolor también puede nacer la esperanza.   Donde crece el helecho rojo gustará a los lectores de todas las edades. Es un retrato fiel del poderoso lazo que existe entre los grandes amigos.   ENGLISH DESCRIPTION   Where the Red Fern Grows is a beloved classic that captures the powerful bond between man and man’s best friend.   Billy has long dreamt of owning not one, but two, dogs. So, when he’s finally able to save up enough money for two pups to call his own—Old Dan and Little Ann—he’s ecstatic. It doesn’t matter that times are tough; together they’ll roam the hills of the Ozarks.   Soon Billy and his hounds become the finest hunting team in the valley. Stories of their great achievements spread throughout the region, and the combination of Old Dan’s brawn, Little Ann’s brains, and Billy’s sheer will seem unbeatable. But tragedy awaits these determined hunters—now friends—and Billy learns that hope can grow out of despair, and that the seeds of the future can come from the scars of the past."
"El reino de los malditos, Vol. 2 / Kingdom of the Cursed", Kerri Maniscalco,"Urano Publishing, Inc.","De la autora de la saga A la caza de Jack el Destripador, best seller #1 del New York Times, llega la secuela ardiente y sumamente romántica de El reino de los malditos… Después de vender su alma para convertirse en la reina de los Malditos, Emilia viaja a los Siete Círculos con Wrath, el enigmático príncipe de la Ira, donde conoce un seductor mundo lleno de vicios. Ella jura hacer lo que sea necesario para vengar a su amada hermana Vittoria… incluso si eso significa aceptar la mano de Pride, príncipe del Orgullo y rey de los demonios. ¿Cuál es la primera regla en la corte de los Malditos? No confiar en nadie. Con príncipes traicioneros, lujosos palacios, misteriosas invitaciones a fiestas y pistas contradictorias sobre quién mató realmente a su gemela, Emilia se siente más sola que nunca. ¿Puede confiar en Wrath, su antiguo aliado en el mundo de los mortales? ¿O este le está ocultando secretos peligrosos sobre su verdadera naturaleza? Emilia será puesta a prueba en todos los sentidos mientras busca una serie de objetos mágicos que desbloquearán las pistas de su pasado y las respuestas que tanto anhela. From the #1 New York Times bestselling author of the Stalking Jack the Ripper series comes the sizzling, sweepingly romantic sequel to Kingdom of the Wicked. After selling her soul to become Queen of the Wicked, Emilia travels to the Seven Circles with the enigmatic Prince of Wrath, where she's introduced to a seductive world of vice. She vows to do whatever it takes to avenge her beloved sister, Vittoria... even if that means accepting the hand of the Prince of Pride, the king of demons. The first rule in the court of the Wicked? Trust no one. With back-stabbing princes, luxurious palaces, mysterious party invitations, and conflicting clues about who really killed her twin, Emilia finds herself more alone than ever before. Can she even trust Wrath, her one-time ally in the mortal world… or is he keeping dangerous secrets about his true nature? Emilia will be tested in every way as she seeks a series of magical objects that will unlock the clues of her past and the answers she craves."
¿Quién es Sonia Sotomayor?,    Megan Stine Who HQ Dede Putra Illustrator Yanitzia Canetti Translator,Penguin Young Readers Group,"Spanish speakers can now learn the truly inspiring story of the first Latin Supreme Court Justice.   Los hispanohablantes pueden ahora conocer la historia verdaderamente inspiradora de la primera jueza latina del Tribunal Supremo.  Outspoken, energetic, and fun, Sonia Sotomayor has managed to turn every struggle in life into a triumph. Born in the Bronx to immigrant parents from Puerto Rico, Sonia found out at age nine that she had diabetes, a serious illness now but an even more dangerous one fifty years ago. How did young Sonia handle the devastating news? She learned to give herself her daily insulin shots and became determined to make the most out of her life. It was the popular sixties TV show Perry Mason that made Sonia want to become a lawyer. Not only a lawyer but a judge! Her remarkable career was capped in 2009 when President Barack Obama nominated her to the Supreme Court, only the third woman in the court's history and the first Hispanic. Stories of Sotomayor's career are hardly dry legal stuff - she once hopped on a motorcycle to chase down counterfeiters and was the judge whose ruling ended the Major League baseball strike in 1995.       Expresiva, enérgica y divertida, Sonia Sotomayor ha logrado convertir cada lucha de su vida en un triunfo. Nacida en el Bronx de padres inmigrantes de Puerto Rico, Sonia descubrió a los nueve años que tenía diabetes, una enfermedad grave ahora, pero aún más peligrosa hace cincuenta años. ¿Cómo afrontó la joven Sonia la devastadora noticia? Aprendió a administrarse sus inyecciones diarias de insulina y se empeñó en aprovechar al máximo su vida. Fue la popular serie de televisión de los años sesenta Perry Mason la que hizo que Sonia quisiera convertirse en abogada. ¡Y no solo abogada, sino también jueza! Su extraordinaria carrera se vio coronada en 2009 cuando el presidente Barack Obama la nombró miembro del Tribunal Supremo, siendo la tercera mujer en la historia del tribunal y la primera hispana. Las historias de la carrera de Sotomayor no son de orden jurídico: cierta vez se subió a una motocicleta para perseguir a los falsificadores y fue la jueza cuya decisión puso fin a la huelga de las Grandes Ligas de béisbol en 1995."
Después de diciembre / After December, Joana Marcús,PRH Grupo Editorial,"Todo cambiará... después de diciembre.  El tiempo es algo relativo. Para algunos pasa más rápido, para otros no tanto. Para Jenna Brown el último año se ha hecho eterno.  Cuando superas una ruptura el tiempo se rige por otras leyes físicas y estar un año sin Jack Ross, ha sido uno de los retos más difíciles de su vida. Pero ha conseguido superarlo, centrarse en sí misma y convertirse en la nueva Jenn que tiene un nuevo objetivo vital: terminar sus estudios.  Aunque suponga volver al lugar donde todo empezó y que tantos recuerdos le evocaba.  Aunque suponga tener que enfrentarse a las consecuencias de todas las decisiones que tomó un año atrás.  Jenna estaba convencida de que todo lo ocurrido antes de diciembre formaba parte del pasado, pero... ¿qué ocurriría después de diciembre?  ENGLISH DESCRIPTION  Everything will change... after December.  Time is relative. For some people it flies, for others doesn't. For Jenna Brown, the last year has been eternal.  When you get over a breakup, time is governed by very different physical theories. Spending a year without Jack Ross has been one of the most difficult challenges of Jenna’s life. But she has managed to overcome the circumstances, and has focused on herself, all to become the new Jenn with a new resolution: to finish her studies.   Even if it means going back to the place where it all began and that evoked her so many memories.   Even if it means having to face the consequences of all the decisions that she made a year ago.   Jenna was convinced that everything that happened before December was in the past, but… what is happening after December?  Read Full Overview"
